rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,matches
158,Ahmed Al Ghamdi,sa KSA,MF,Al-Ittihad,22,2001,0.7,0,0,0,2,0,0,1,0,1,,,0,Matches
159,Anas Al Ghamdi,sa KSA,FW,Al-Taawoun,19,2005,0.4,1,0,0,1,0,0,0,1,0,,,0,Matches
160,Hamed Al-Ghamdi,sa KSA,MF,Al-Ittihad,25,1999,5.0,1,0,0,5,4,1,4,3,5,,,0,Matches
161,Hazzaa Al Ghamdi,sa KSA,"MF,FW",Damac,23,2001,7.7,1,0,0,14,15,1,10,6,9,,,0,Matches
162,Raed Al-Ghamdi,sa KSA,"FW,MF",Al-Raed,30,1994,1.3,0,0,0,1,3,1,2,0,0,,,0,Matches
163,Sultan Al-Ghanam,sa KSA,DF,Al-Nassr,30,1994,24.6,6,0,0,26,14,7,120,36,15,,,0,Matches
164,Khalid Al Ghannam,sa KSA,MF,Al-Hilal,23,2000,0.6,0,0,0,1,1,0,3,0,2,,,0,Matches
165,Abdulrahman Ghareeb,sa KSA,"MF,FW",Al-Nassr,27,1997,7.1,0,0,0,6,8,3,54,1,8,,,0,Matches
166,Nawaf Al Ghulaimish,sa KSA,"MF,DF",Al-Shabab,,,3.6,0,0,0,4,3,0,11,3,3,,,0,Matches
167,Turki Al Ghumayl,sa KSA,MF,Al-Hilal,19,2005,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
168,Andrei Girotto,br BRA,DF,Al-Taawoun,32,1992,25.6,5,1,0,30,12,0,5,32,40,,,1,Matches
169,Saviour Godwin,ng NGA,"MF,FW",Al Okhdood SC,27,1996,26.1,5,0,0,35,40,14,69,14,11,,,0,Matches
170,Oumar Gonzalez,cm CMR,DF,Al-Raed,26,1998,25.2,1,2,0,21,21,2,2,41,22,,,0,Matches
171,Craig Goodwin,au AUS,"MF,FW",Al-Wehda,32,1991,21.2,1,0,0,17,24,8,84,6,17,,,0,Matches
172,Gustavo Gouveia,br BRA,MF,Al-Qadsiah,17,2006,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
173,Demarai Gray,jm JAM,"MF,FW",Al-Ettifaq,28,1996,18.9,1,0,0,22,31,4,77,6,13,,,0,Matches
