rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
78,George Bello,us USA,"DF,MF",Atlanta Utd,19,2002,27.1,1499,57,440,682,397,78,1499,52,33,63.5,19,36.5,882,4472,2394,57,31,25,48,21,976,153,Matches
79,Joe Bendik,us USA,GK,Philadelphia Union,31,1989,2.4,73,61,73,0,0,0,73,0,0,,0,,37,192,103,0,0,0,0,0,27,0,Matches
80,Nicolas Benezet,fr FRA,"MF,FW",Colorado Rapids,29,1991,3.2,188,1,19,84,94,8,188,20,11,55.0,9,45.0,129,1042,543,17,15,3,8,3,136,38,Matches
81,Nicolas Benezet,fr FRA,"MF,FW",Seattle Sounders,29,1991,7.4,404,3,48,188,174,36,404,15,11,73.3,4,26.7,251,1385,755,24,15,7,30,10,302,69,Matches
82,Sebastian Berhalter,us USA,MF,Austin,19,2001,7.3,611,22,178,323,114,2,611,2,1,50.0,1,50.0,342,1469,742,5,7,0,13,7,460,7,Matches
83,Robert Berić,si SVN,FW,Chicago Fire,29,1991,24.4,811,11,32,370,418,131,811,31,9,29.0,21,67.7,491,2039,775,31,17,13,75,37,647,178,Matches
84,Miguel Berry,es ESP,FW,Columbus Crew,23,1997,9.4,270,18,33,124,116,44,270,21,11,52.4,10,47.6,127,677,278,8,6,4,22,7,164,34,Matches
85,Matt Besler,us USA,DF,Austin,33,1987,19.4,1583,230,830,701,57,2,1583,5,5,100.0,0,0.0,946,4936,3232,25,21,0,4,2,1175,4,Matches
86,Nick Besler,us USA,MF,Real Salt Lake,27,1993,18.3,958,48,249,620,99,14,958,11,5,45.5,6,54.5,545,2208,900,9,10,1,17,7,619,12,Matches
87,Janio Bikel,gw GNB,"MF,DF",Vancouver W'caps,25,1995,25.6,1149,44,263,740,156,14,1149,47,36,76.6,11,23.4,688,3591,1635,31,22,3,33,16,761,32,Matches
88,Steve Birnbaum,us USA,DF,D.C. United,30,1991,18.0,760,127,415,308,41,30,760,0,0,,0,,327,1399,541,2,1,0,4,1,363,6,Matches
89,José Bizama,cl CHI,DF,Houston Dynamo,26,1994,1.0,53,5,19,20,14,0,53,1,1,100.0,0,0.0,20,92,59,1,0,0,1,1,22,7,Matches
90,Tyler Blackett,eng ENG,DF,FC Cincinnati,26,1994,8.6,458,76,287,163,8,5,458,1,0,0.0,1,100.0,268,1306,685,1,0,0,0,1,303,1,Matches
91,Jamal Blackman,eng ENG,GK,LAFC,27,1993,8.0,213,182,213,0,0,0,213,0,0,,0,,97,503,338,0,0,0,0,0,64,0,Matches
92,Tristan Blackmon,us USA,DF,LAFC,24,1996,14.4,966,74,340,531,106,21,966,16,7,43.8,9,56.3,512,2253,1183,15,9,0,13,4,554,17,Matches
93,Andre Blake,jm JAM,GK,Philadelphia Union,30,1990,26.0,796,686,793,3,1,0,796,0,0,,0,,404,2385,1358,0,0,0,1,0,256,0,Matches
94,Sebastián Blanco,ar ARG,"MF,FW",Portland Timbers,32,1988,13.1,856,7,87,414,368,64,856,39,24,61.5,15,38.5,592,3451,1897,62,43,23,25,14,688,107,Matches
95,Latif Blessing,gh GHA,"MF,DF",LAFC,24,1996,24.5,1361,27,201,760,425,35,1361,69,45,65.2,24,34.8,774,3468,1478,36,40,8,61,45,805,77,Matches
