rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
161,Yosuke Kawai,jp JPN,MF,S-Pulse,30,1989,7.0,,7,,,,,,,,,,11,,,,Matches
162,Riyo Kawamoto,jp JPN,FW,S-Pulse,18,2001,1.8,,1,,,,,,,,,,2,,,,Matches
163,Shuhei Kawasaki,jp JPN,MF,Gamba Osaka,18,2001,3.0,,8,,,,,,,,,,2,,,,Matches
164,Yasumasa Kawasaki,jp JPN,DF,Yokohama FC,27,1992,0.1,,0,,,,,,,,,,0,,,,Matches
165,Hinata Kida,jp JPN,MF,Cerezo Osaka,19,2000,0.0,,0,,,,,,,,,,0,,,,Matches
166,Takuya Kida,jp JPN,MF,Marinos,25,1994,24.8,,17,,,,,,,,,,28,,,,Matches
167,Ryuho Kikuchi,jp JPN,DF,Vissel Kobe,23,1996,10.4,,19,,,,,,,,,,25,,,,Matches
168,Yasuki Kimoto,jp JPN,"DF,MF",Cerezo Osaka,26,1993,20.8,,11,,,,,,,,,,27,,,,Matches
169,Seiji Kimura,jp JPN,DF,FC Tokyo,18,2001,3.0,,2,,,,,,,,,,7,,,,Matches
170,Kengo Kitazume,jp JPN,"DF,MF",Kashiwa Reysol,27,1992,15.2,,25,,,,,,,,,,33,,,,Matches
171,Hiroshi Kiyotake,jp JPN,MF,Cerezo Osaka,30,1989,27.9,,13,,,,,,,,,,18,,,,Matches
172,Seigo Kobayashi,jp JPN,MF,Oita Trinita,26,1994,0.5,,0,,,,,,,,,,0,,,,Matches
173,Shota Kobayashi,jp JPN,"MF,DF",Shonan Bellmare,28,1991,8.9,,7,,,,,,,,,,7,,,,Matches
174,Yu Kobayashi,jp JPN,FW,Kawa Frontale,32,1987,14.6,,2,,,,,,,,,,2,,,,Matches
175,Yuki Kobayashi,jp JPN,MF,Oita Trinita,31,1988,6.8,,6,,,,,,,,,,9,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
176,Yuki Kobayashi,jp JPN,DF,Yokohama FC,19,2000,24.9,,9,,,,,,,,,,43,,,,Matches
177,Yusuke Kobayashi,jp JPN,MF,Kashiwa Reysol,25,1994,2.2,,4,,,,,,,,,,12,,,,Matches
178,Yuzo Kobayashi,jp JPN,DF,Sagan Tosu,34,1985,1.8,,2,,,,,,,,,,3,,,,Matches
179,Tsuyoshi Kodama,jp JPN,GK,FC Tokyo,32,1987,1.0,,0,,,,,,,,,,0,,,,Matches
180,Taiyo Koga,jp JPN,DF,Kashiwa Reysol,21,1998,33.0,,27,,,,,,,,,,65,,,,Matches
181,Yuta Koide,jp JPN,"MF,DF",Oita Trinita,25,1994,8.7,,10,,,,,,,,,,12,,,,Matches
182,Ryuta Koike,jp JPN,"DF,MF",Marinos,24,1995,19.0,,28,,,,,,,,,,33,,,,Matches
183,Yuta Koike,jp JPN,DF,Cerezo Osaka,23,1996,0.6,,1,,,,,,,,,,0,,,,Matches
184,Kei Koizumi,jp JPN,DF,Kashima Antlers,24,1995,18.8,,30,,,,,,,,,,40,,,,Matches
185,Yoshiaki Komai,jp JPN,"MF,FW",Consa Sapporo,27,1992,27.7,,22,,,,,,,,,,15,,,,Matches
