wk,day,date,time,home,xg,score,xg_1,away,attendance,venue,referee,match_report,notes
15,Sun,2020-01-05,15:00 (16:00),Rio Ave,1.0,0–1,1.6,Marítimo,2168,Estádio do Rio Ave Futebol Clube,Manuel Oliveira,Match Report,
15,Sun,2020-01-05,15:00 (16:00),Paços de Ferreira,0.7,1–0,0.4,Moreirense,2612,Estádio da Capital do Móvel,Hélder Malheiro,Match Report,
15,Sun,2020-01-05,17:30 (18:30),Sporting CP,1.4,1–2,1.6,Porto,41247,Estádio José Alvalade,Jorge de Sousa,Match Report,
15,Sun,2020-01-05,20:00 (21:00),Famalicão,2.8,3–0,0.3,Vitória Setúbal,3845,Estádio Municipal 22 de Junho,Artur Soares Dias,Match Report,
16,Fri,2020-01-10,18:00 (20:00),Santa Clara,0.7,0–1,0.7,Rio Ave,1663,Estádio de São Miguel,João Pinheiro,Match Report,
16,Fri,2020-01-10,19:00 (20:00),Benfica,5.1,2–1,0.9,Aves,50760,Estádio do Sport Lisboa e Benfica,Carlos Xistra,Match Report,
16,Fri,2020-01-10,21:15 (22:15),Moreirense,0.5,2–4,2.8,Porto,3525,P.D. Comendador Joaquim de Almeida Freit...,Artur Soares Dias,Match Report,
16,Sat,2020-01-11,15:30 (16:30),Portimonense,0.8,0–0,0.4,Paços de Ferreira,2452,Estádio do Portimonense SC,Hugo Miguel,Match Report,
16,Sat,2020-01-11,18:00 (19:00),Boavista,1.6,0–1,1.4,Famalicão,13186,Estádio do Bessa Século XXI,Rui Costa,Match Report,
16,Sat,2020-01-11,20:30 (21:30),Vitória Setúbal,0.7,1–3,1.7,Sporting CP,5761,Estádio do Bonfim,Tiago Martins,Match Report,
16,Sun,2020-01-12,15:00 (16:00),Gil Vicente FC,1.9,2–0,0.5,B-SAD,3770,Estádio Cidade de Barcelos,Rui Oliveira,Match Report,
16,Sun,2020-01-12,17:30 (18:30),Marítimo,0.3,0–0,1.9,Vitória,6320,Estádio dos Barreiros,Luís Godinho,Match Report,
