rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
668,Carlos Tevez,ar ARG,"FW,MF",Boca Juniors,35,1984,11.7,9,33,19,57.6,2.82,1.62,0.27,0.47,17.5,5,0,1,5.7,4.9,0.15,+3.3,+4.1,Matches
669,Horacio Tijanovich,ar ARG,"FW,MF",Gimnasia–LP,23,1996,13.7,1,22,10,45.5,1.60,0.73,0.05,0.10,13.2,0,0,0,2.2,2.2,0.10,-1.2,-1.2,Matches
670,Facundo Tobares,ar ARG,FW,Aldosivi,19,2000,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
671,Gastón Togni,ar ARG,"MF,FW",Independiente,21,1997,2.5,0,4,0,0.0,1.62,0.00,0.00,,26.3,2,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
672,Gustavo Toledo,ar ARG,DF,Atlé Tucumán,29,1989,2.0,0,1,0,0.0,0.49,0.00,0.00,,30.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
673,Javier Toledo,ar ARG,FW,Atlé Tucumán,33,1986,16.3,5,38,14,36.8,2.33,0.86,0.13,0.36,14.5,0,0,0,5.1,5.1,0.14,-0.1,-0.1,Matches
674,Fernando Torrent,ar ARG,DF,Arsenal,27,1991,22.1,1,13,3,23.1,0.59,0.14,0.08,0.33,16.4,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
675,Lautaro Torres,ar ARG,MF,Patronato,22,1996,4.1,1,9,4,44.4,2.18,0.97,0.11,0.25,24.4,2,0,0,0.6,0.6,0.07,+0.4,+0.4,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
676,Sebastián Torrico,ar ARG,GK,San Lorenzo,39,1980,12.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
677,Marco Torsiglieri,ar ARG,DF,Gimnasia–LP,31,1988,7.5,0,2,0,0.0,0.27,0.00,0.00,,12.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
678,Julio César González Trinidad,py PAR,DF,Defensa y Just,27,1992,13.8,0,3,1,33.3,0.22,0.07,0.00,0.00,14.1,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
679,Nicolás Tripichio,ar ARG,"DF,FW",Defensa y Just,23,1996,4.0,1,3,2,66.7,0.75,0.50,0.33,0.50,16.6,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
680,Franco Troyansky,ar ARG,"FW,MF",Unión,22,1997,11.6,4,33,7,21.2,2.85,0.61,0.09,0.43,19.1,0,1,1,3.1,2.3,0.07,+0.9,+0.7,Matches
681,Ezequiel Unsain,ar ARG,GK,Defensa y Just,24,1995,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
682,Bruno Urribarri,ar ARG,"DF,MF",Patronato,32,1986,6.7,0,5,1,20.0,0.75,0.15,0.00,0.00,26.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
683,Agustín Urzi,ar ARG,"MF,FW",Banfield,19,2000,15.6,0,29,7,24.1,1.86,0.45,0.00,0.00,21.0,0,0,0,2.3,2.3,0.08,-2.3,-2.3,Matches
