rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
708,Wanderson,br BRA,DF,Atl Goianiense,29,1991,22,20,1731,19.2,0,0,0,0,0,0,3,0,0.7,0.7,0.1,0.8,16,55,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
709,Welington,br BRA,"DF,FW",São Paulo,19,2001,16,11,1041,11.6,0,0,0,0,0,0,6,0,0.3,0.3,1.6,1.9,33,46,114,0.00,0.00,0.00,0.00,0.00,0.03,0.14,0.16,0.03,0.16,Matches
710,José Welison,br BRA,MF,Sport Recife,25,1995,31,28,2453,27.3,2,1,3,2,0,0,6,0,3.7,3.7,2.1,5.8,39,158,55,0.07,0.04,0.11,0.07,0.11,0.13,0.08,0.21,0.13,0.21,Matches
711,Wendson,br BRA,"MF,FW",Ceará,23,1997,6,0,32,0.4,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,1,0,4,2.81,0.00,2.81,2.81,2.81,1.22,0.00,1.22,1.22,1.22,Matches
712,Werley,br BRA,"DF,FW",Atl Goianiense,32,1988,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
713,Werton,br BRA,FW,Flamengo,17,2003,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,5,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.63,0.63,0.63,Matches
714,Wescley,br BRA,"FW,MF",Juventude,29,1991,28,18,1640,18.2,1,0,1,1,0,0,2,0,1.8,1.8,1.5,3.3,25,85,96,0.05,0.00,0.05,0.05,0.05,0.10,0.08,0.18,0.10,0.18,Matches
715,Wesley,br BRA,DF,Flamengo,17,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,10,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
716,Wesley,br BRA,"FW,MF",Palmeiras,21,1999,23,15,1061,11.8,4,2,6,4,0,0,4,1,2.9,2.9,1.6,4.5,40,45,123,0.34,0.17,0.51,0.34,0.51,0.24,0.14,0.38,0.24,0.38,Matches
717,Weverson,br BRA,"DF,FW",RB Bragantino,20,2000,17,9,867,9.6,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,15,36,46,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.06,0.04,0.06,Matches
718,Wéverton,br BRA,GK,Palmeiras,33,1987,21,21,1868,20.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
719,Weverton,br BRA,DF,RB Bragantino,21,1999,11,8,683,7.6,1,0,1,1,0,0,5,0,0.3,0.3,0.7,1.0,11,44,35,0.13,0.00,0.13,0.13,0.13,0.04,0.09,0.13,0.04,0.13,Matches
720,Willian,br BRA,MF,Ceará,27,1993,5,3,281,3.1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,1,14,1,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
721,Willian,br BRA,"FW,MF",Palmeiras,34,1986,20,8,774,8.6,4,1,5,4,0,0,0,0,2.9,2.9,1.3,4.2,20,13,52,0.47,0.12,0.58,0.47,0.58,0.34,0.15,0.49,0.34,0.49,Matches
722,Willian,br BRA,"FW,MF",Corinthians,32,1988,9,6,450,5.0,0,2,2,0,0,0,0,0,0.5,0.5,1.2,1.7,37,21,53,0.00,0.40,0.40,0.00,0.40,0.10,0.24,0.34,0.10,0.34,Matches
723,Xavier,br BRA,MF,Corinthians,20,2000,16,2,290,3.2,0,0,0,0,0,0,0,1,0.2,0.2,0.0,0.2,1,11,2,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
724,Samuel Xavier,br BRA,DF,Fluminense,30,1990,30,26,2377,26.4,0,1,1,0,0,0,4,0,0.9,0.9,0.6,1.5,40,137,79,0.00,0.04,0.04,0.00,0.04,0.03,0.02,0.06,0.03,0.06,Matches
725,Yago,br BRA,MF,Fluminense,25,1995,35,32,2684,29.8,3,2,5,3,0,0,7,0,2.2,2.2,2.2,4.4,26,127,82,0.10,0.07,0.17,0.10,0.17,0.07,0.07,0.15,0.07,0.15,Matches
