rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
179,Marcos Guilherme,br BRA,"MF,FW",Al-Wehda,23,1995,9.5,,7,,,,,,,,,,5,,,,Matches
180,Ahmed Al-Habib,sa KSA,DF,Abha,26,1993,6.2,,6,,,,,,,,,,11,,,,Matches
181,Hassan Al-Habib,sa KSA,MF,Al-Hazem,24,1994,11.1,,6,,,,,,,,,,14,,,,Matches
182,Musab Habkour,sa KSA,MF,Abha,20,1999,0.3,,0,,,,,,,,,,0,,,,Matches
183,Oussama Haddadi,tn TUN,DF,Al-Ettifaq,27,1992,14.0,,18,,,,,,,,,,17,,,,Matches
184,Zakaria Hadraf,ma MAR,"MF,FW",Damac,29,1990,11.6,,6,,,,,,,,,,1,,,,Matches
185,Abdullah Al-Hafith,sa KSA,DF,Al-Hilal,26,1992,13.1,,9,,,,,,,,,,16,,,,Matches
186,Marwan Al Haidari,sa KSA,GK,Al-Shabab,23,1996,5.0,,0,,,,,,,,,,0,,,,Matches
187,Asiri Haitham,sa KSA,FW,Al-Ahli,18,2001,0.1,,1,,,,,,,,,,0,,,,Matches
188,Mohammed Al-Haiti,sa KSA,GK,Al-Ettifaq,23,1996,2.0,,1,,,,,,,,,,0,,,,Matches
189,Othman Al Haj,sa KSA,MF,Al-Fayha,25,1994,3.0,,2,,,,,,,,,,1,,,,Matches
190,Muteb Al-Hamaad,sa KSA,FW,Damac,20,1998,0.0,,0,,,,,,,,,,0,,,,Matches
191,Fahad Al Hamad,sa KSA,DF,Al-Taawoun,21,1998,3.8,,3,,,,,,,,,,5,,,,Matches
192,Abdullah Al Hamaien,sa KSA,MF,Al-Adalah,31,1988,3.3,,5,,,,,,,,,,3,,,,Matches
193,Abderrazak Hamdallah,ma MAR,FW,Al-Nassr,28,1990,26.8,,10,,,,,,,,,,5,,,,Matches
194,Abdullah Al Hamdan,sa KSA,FW,Al-Shabab,19,1999,13.2,,8,,,,,,,,,,2,,,,Matches
195,Yassin Hamzah,sa KSA,DF,Al-Wehda,28,1990,2.8,,4,,,,,,,,,,6,,,,Matches
196,Mansor Hamzi,sa KSA,MF,Al-Hazem,27,1992,12.1,,14,,,,,,,,,,9,,,,Matches
197,Mansoor Al-Harbi,sa KSA,DF,Al-Ittihad,31,1987,21.5,,20,,,,,,,,,,31,,,,Matches
198,Yousef Al Harbi,sa KSA,MF,Al-Ahli,22,1997,2.7,,9,,,,,,,,,,5,,,,Matches
199,Ali Al Hassan,sa KSA,MF,Al-Fateh,22,1997,18.0,,21,,,,,,,,,,16,,,,Matches
200,Abdullah Hassun,sa KSA,DF,Al-Ahli,22,1997,13.8,,32,,,,,,,,,,13,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
201,Motaz Hawsawi,sa KSA,DF,Al-Ahli,27,1992,6.0,,7,,,,,,,,,,14,,,,Matches
202,Omar Hawsawi,sa KSA,DF,Al-Nassr,33,1985,5.8,,3,,,,,,,,,,7,,,,Matches
203,Hazaa Al-Hazaa,sa KSA,FW,Al-Ettifaq,27,1991,10.1,,8,,,,,,,,,,3,,,,Matches
204,Ali Hazazi,sa KSA,MF,Al-Ettifaq,25,1994,14.5,,24,,,,,,,,,,18,,,,Matches
205,Majed Hazazi,sa KSA,DF,Damac,31,1988,22.0,,37,,,,,,,,,,43,,,,Matches
206,Naif Hazazi,sa KSA,FW,Al-Adalah,31,1988,5.1,,3,,,,,,,,,,1,,,,Matches
207,Waleed Hazem,sa KSA,MF,Al-Shabab,24,1994,1.1,,0,,,,,,,,,,1,,,,Matches
208,Abdullah Al Hazzan,sa KSA,DF,Al-Faisaly,20,1999,5.6,,9,,,,,,,,,,9,,,,Matches
209,Saeed Hezam,sa KSA,"MF,FW",Damac,29,1990,3.3,,2,,,,,,,,,,0,,,,Matches
210,Abdulbasit Hindi,sa KSA,DF,Al-Ahli,22,1997,12.2,,17,,,,,,,,,,32,,,,Matches
