rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
515,João Simões,pt POR,MF,Sporting CP,17,2007,4.4,309,11,37,169,106,9,309,12,5,41.7,7,58.3,206,1060,475,11,8,3,10,3,224,15,Matches
516,Sphephelo Sithole,za RSA,"FW,MF",Gil Vicente FC,25,1999,0.6,25,2,10,9,6,0,25,0,0,,0,,16,80,36,1,0,0,0,0,16,0,Matches
517,Filipe Soares,pt POR,MF,Farense,25,1999,6.7,306,11,79,169,62,9,306,14,6,42.9,6,42.9,144,871,354,13,3,0,10,9,170,13,Matches
518,Lucas Soares,br BRA,"MF,DF",Santa Clara,26,1998,18.4,901,41,252,371,284,24,901,25,5,20.0,18,72.0,381,1902,931,25,16,6,32,9,438,85,Matches
519,Rafa Soares,pt POR,DF,Famalicão,29,1995,23.2,1421,62,470,527,437,27,1421,12,7,58.3,5,41.7,636,2607,1403,32,26,3,20,8,734,110,Matches
520,Samuel Soares,pt POR,GK,Benfica,22,2002,2.0,40,38,40,0,0,0,40,0,0,,0,,24,111,85,0,0,0,0,0,12,0,Matches
521,Alexandre Sola,ad AND,MF,Estrela,20,2003,0.2,11,0,4,6,1,0,11,0,0,,0,,3,8,1,0,0,0,3,0,3,0,Matches
522,Djibril Soumaré,sn SEN,MF,Nacional,21,2003,20.9,1081,63,298,685,126,13,1081,49,27,55.1,16,32.7,507,3245,1740,22,24,0,34,14,593,12,Matches
523,André Sousa,pt POR,MF,Nacional,34,1990,2.2,120,2,23,59,40,4,120,4,0,0.0,4,100.0,62,247,150,3,2,1,5,2,67,4,Matches
524,Dyego Sousa,pt POR,FW,Nacional,34,1989,1.7,48,3,5,26,17,4,48,2,0,0.0,2,100.0,27,104,9,0,0,0,3,5,36,4,Matches
525,Gerson Sousa,pt POR,"FW,MF",Estrela,22,2002,0.7,41,1,13,17,11,3,41,0,0,,0,,17,74,34,0,0,1,7,1,22,6,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
526,Miguel Sousa,pt POR,"MF,FW",Casa Pia,25,1998,11.7,654,11,105,388,173,26,654,34,18,52.9,14,41.2,339,1434,678,19,8,5,25,7,419,46,Matches
527,Valentim Sousa,pt POR,FW,Rio Ave,19,2005,0.9,48,2,5,28,15,1,48,7,2,28.6,3,42.9,26,142,51,2,2,1,2,2,29,7,Matches
528,Vasco Sousa,pt POR,MF,Porto,21,2003,4.7,267,4,35,149,85,5,267,4,2,50.0,1,25.0,159,641,238,4,6,1,9,8,189,12,Matches
529,Fabiano Souza,br BRA,DF,Moreirense,24,2000,7.8,468,28,196,194,82,5,468,19,10,52.6,9,47.4,238,1186,602,15,10,1,8,8,233,18,Matches
