rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
157,Sherel Floranus,cw CUW,DF,Heerenveen,20,1998,24.8,60,36,32,20,8,25,45,20,31,7,24,34,94,78,2,Matches
158,Navarone Foor,nl NED,MF,Vitesse,27,1992,10.6,29,25,12,14,3,7,25,18,11,2,9,20,49,8,0,Matches
159,Jeffry Fortes,cv CPV,"DF,MF",Sparta R'dam,30,1989,5.1,4,3,4,0,0,3,6,3,6,0,6,4,8,10,0,Matches
160,Lassina Franck Traoré,bf BFA,FW,Ajax,18,2001,3.9,3,1,1,2,0,0,0,0,1,0,1,0,3,2,0,Matches
161,Kerim Frei,tr TUR,FW,Emmen,25,1993,3.5,2,1,2,0,0,0,5,5,2,0,2,2,4,1,0,Matches
162,Juriën Gaari,cw CUW,DF,RKC Waalwijk,25,1993,17.5,26,15,17,5,4,13,35,22,17,5,12,22,48,38,1,Matches
163,Cody Gakpo,nl NED,FW,PSV Eindhoven,20,1999,16.2,21,10,3,10,8,7,22,15,22,0,22,14,35,15,1,Matches
164,Lutsharel Geertruida,nl NED,DF,Feyenoord,19,2000,11.7,35,25,20,13,2,12,21,9,14,3,11,12,47,20,0,Matches
165,Roy Gelmi,ch SUI,DF,VVV-Venlo,24,1995,1.4,3,3,3,0,0,2,2,0,2,1,1,4,7,4,0,Matches
166,Reza Ghoochannejad,ir IRN,FW,Zwolle,31,1987,7.9,4,1,0,2,2,0,2,2,1,1,0,0,4,5,0,Matches
167,Paul Gladon,nl NED,FW,Willem II,27,1992,2.2,1,0,0,1,0,0,0,0,1,0,1,0,1,3,0,Matches
168,Hilary Gong,ng NGA,MF,Vitesse,20,1998,0.3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Matches
169,John Goossens,nl NED,"MF,FW",ADO Den Haag,31,1988,20.3,18,8,9,7,2,9,30,21,20,11,9,23,41,38,1,Matches
170,Thijmen Goppel,nl NED,FW,ADO Den Haag,22,1997,2.5,4,3,4,0,0,2,4,2,1,1,0,2,6,1,0,Matches
171,Ferhat Görgülü,nl NED,DF,Emmen,27,1991,2.8,4,1,3,1,0,2,5,3,3,2,1,2,6,10,0,Matches
172,Kenzo Goudmijn,nl NED,MF,AZ Alkmaar,17,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
173,Ryan Gravenberch,nl NED,MF,Ajax,17,2002,5.3,12,3,5,6,1,4,11,7,2,0,2,6,18,6,0,Matches
174,Jay-Roy Grot,sr SUR,"MF,FW",Vitesse,21,1998,9.4,19,12,7,9,3,5,22,17,13,3,10,9,28,8,0,Matches
