round,wk,day,date,time,home,xg,score,xg_1,away,attendance,venue,referee,match_report,notes
Serie A,1,Sat,2022-08-13,18:30,Milan,2.3,4–2,0.5,Udinese,70197,Stadio Giuseppe Meazza,Livio Marinelli,Match Report,
Serie A,1,Sat,2022-08-13,18:30,Sampdoria,1.0,0–2,2.2,Atalanta,20047,Stadio Comunale Luigi Ferraris,Federico Dionisi,Match Report,
Serie A,1,Sat,2022-08-13,20:45,Lecce,0.7,1–2,2.1,Inter,25353,Stadio Comunale Via Del Mare,Alessandro Prontera,Match Report,
Serie A,1,Sat,2022-08-13,20:45,Monza,1.4,1–2,2.1,Torino,10739,U-Power Stadium,Maurizio Mariani,Match Report,
Serie A,1,Sun,2022-08-14,18:30,Fiorentina,2.0,3–2,1.3,Cremonese,34461,Stadio Artemio Franchi,Juan Sacchi,Match Report,
Serie A,1,Sun,2022-08-14,18:30,Lazio,0.7,2–1,1.5,Bologna,45000,Stadio Olimpico,Luca Massimi,Match Report,
Serie A,1,Sun,2022-08-14,20:45,Spezia,0.5,1–0,0.7,Empoli,8360,Stadio Alberto Picco,Daniele Chiffi,Match Report,
Serie A,1,Sun,2022-08-14,20:45,Salernitana,0.6,0–1,2.4,Roma,26006,Stadio Arechi,Simone Sozza,Match Report,
Serie A,1,Mon,2022-08-15,18:30,Hellas Verona,1.1,2–5,2.4,Napoli,16967,Stadio Marc'Antonio Bentegodi,Michael Fabbri,Match Report,
Serie A,1,Mon,2022-08-15,20:45,Juventus,2.0,3–0,0.9,Sassuolo,38725,Allianz Stadium,Antonio Rapuano,Match Report,
Serie A,2,Sat,2022-08-20,18:30,Torino,0.7,0–0,0.8,Lazio,16530,Stadio Olimpico di Torino,Marco Piccinini,Match Report,
Serie A,2,Sat,2022-08-20,18:30,Udinese,1.1,0–0,1.5,Salernitana,17054,Dacia Arena,Gianluca Aureliano,Match Report,
Serie A,2,Sat,2022-08-20,20:45,Sassuolo,0.6,1–0,0.5,Lecce,9219,Mapei Stadium - Città del Tricolore,Andrea Colombo,Match Report,
Serie A,2,Sat,2022-08-20,20:45,Inter,2.1,3–0,0.5,Spezia,71212,Stadio Giuseppe Meazza,Davide Ghersini,Match Report,
Serie A,2,Sun,2022-08-21,18:30,Napoli,2.0,4–0,0.1,Monza,36559,Stadio Diego Armando Maradona,Francesco Fourneau,Match Report,
Serie A,2,Sun,2022-08-21,18:30,Empoli,0.4,0–0,0.7,Fiorentina,10411,Stadio Carlo Castellani,Matteo Marchetti,Match Report,
Serie A,2,Sun,2022-08-21,20:45,Bologna,0.8,1–1,1.9,Hellas Verona,17725,Stadio Renato Dall'Ara,Matteo Marcenaro,Match Report,
Serie A,2,Sun,2022-08-21,20:45,Atalanta,0.5,1–1,1.3,Milan,19216,Gewiss Stadium,Fabio Maresca,Match Report,
Serie A,2,Mon,2022-08-22,18:30,Roma,2.7,1–0,0.7,Cremonese,60859,Stadio Olimpico,Luca Massimi,Match Report,
Serie A,2,Mon,2022-08-22,20:45,Sampdoria,0.9,0–0,0.8,Juventus,27573,Stadio Comunale Luigi Ferraris,Rosario Abisso,Match Report,
Serie A,3,Fri,2022-08-26,18:30,Monza,1.5,1–2,1.7,Udinese,9955,U-Power Stadium,Marco Di Bello,Match Report,
Serie A,3,Fri,2022-08-26,20:45,Lazio,1.1,3–1,1.5,Inter,52500,Stadio Olimpico,Michael Fabbri,Match Report,
Serie A,3,Sat,2022-08-27,18:30,Juventus,0.6,1–1,1.3,Roma,41003,Allianz Stadium,Massimiliano Irrati,Match Report,
Serie A,3,Sat,2022-08-27,18:30,Cremonese,0.8,1–2,1.7,Torino,11572,Stadio Giovanni Zini,Paolo Valeri,Match Report,
Serie A,3,Sat,2022-08-27,20:45,Spezia,1.2,2–2,2.8,Sassuolo,6500,Stadio Alberto Picco,Francesco Cosso,Match Report,
Serie A,3,Sat,2022-08-27,20:45,Milan,1.9,2–0,0.5,Bologna,70430,Stadio Giuseppe Meazza,Gianluca Manganiello,Match Report,
Serie A,3,Sun,2022-08-28,18:30,Salernitana,1.7,4–0,1.8,Sampdoria,19116,Stadio Arechi,Davide Massa,Match Report,
Serie A,3,Sun,2022-08-28,18:30,Hellas Verona,0.5,0–1,0.8,Atalanta,16106,Stadio Marc'Antonio Bentegodi,Alessandro Prontera,Match Report,
Serie A,3,Sun,2022-08-28,20:45,Fiorentina,0.5,0–0,1.7,Napoli,32286,Stadio Artemio Franchi,Livio Marinelli,Match Report,
Serie A,3,Sun,2022-08-28,20:45,Lecce,0.9,1–1,0.4,Empoli,23941,Stadio Comunale Via Del Mare,Alberto Santoro,Match Report,
Serie A,4,Tue,2022-08-30,18:30,Sassuolo,1.1,0–0,0.7,Milan,18053,Mapei Stadium - Città del Tricolore,Giovanni Ayroldi,Match Report,
Serie A,4,Tue,2022-08-30,20:45,Inter,2.2,3–1,1.2,Cremonese,70750,Stadio Giuseppe Meazza,Francesco Fourneau,Match Report,
